OrganisationNo;LineDiscount;CustomerUnit;AccountManager;Municipality;County;Country;NoOfEmployees;Potential;AccessoryRatio;TargetAccessory;NSB;CPLow;Days;TargetDays;NrOfOrder;Software
4364;Yes;SMB Large;Ole Petter Eriksen;Evje og Hornnes;Aust-Agder;Dustin Norway;6,5;35880;0,288058;No;4715,82;0,267098829;350;9999;1;No
4365;No;Corporate;Daniel Källberg;Östersund;Jämtland;Dustin Sweden;6,5;54535;0,086194;No;42996;0,286072658;50;50;1;No
4366;No;SMB Small;Unassigned_SE;Mölndal;Västra Götaland;Dustin Sweden;1,3;14157;0,109329;No;7072,2;0,101809904;236;9999;2;No
4367;No;SMB Small;Unassigned_SE;Tierp;Uppsala;Dustin Sweden;1,3;28678;0,408575;No;20271,4;0,141487514;105;9999;11;No
4368;No;SMB Small;Unassigned_SE;Örnsköldsvik;Västernorrland;Dustin Sweden;1,8;0;0,057932;No;5851,6;0,062290656;438;9999;1;No
4369;No;SMB Small;Unassigned_DK;Gentofte;Hovedstaden;Dustin Denmark;6,5;164645;0;No;12683,06;0,116002763;354;9999;4;No
4370;No;Corporate;Jacob Hornbæk;Århus;Midtjylland;Dustin Denmark;-1;88010;0;No;14844,02;0,048470697;27;9999;2;No
4371;Yes;SMB Small;Niklas Arklöv;Lysekil;Västra Götaland;Dustin Sweden;68;611320;0,697408;No;3093,11;0,20925541;36;9999;6;No
4372;No;SMB Small;Unassigned_DK;Assens;Syddanmark;Dustin Denmark;-1;0;0,512658;No;884,8;0,09778481;60;9999;1;No
4373;No;SMB Mid;Mid - Segmentet;Solna;Stockholm;Dustin Sweden;-1;0;0,637216;No;50435;0,247235055;693;867;19;Yes
4374;No;SMB Small;Unassigned_SE;Malmö;Skåne;Dustin Sweden;1,3;14157;0,432926;No;49581,2;0,055684614;42;9999;7;No
4375;Yes;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;6,5;70785;0,08519;No;80593,15;0,075686705;159;9999;7;No
4376;No;SMB Mid;Mid - Segmentet;Gislaved;Jönköping;Dustin Sweden;68;797640;0,21115;No;17489,88;0,037653203;46;9999;9;No
4377;Yes;SMB Small;Unassigned_SE;Karlstad;Värmland;Dustin Sweden;1,8;39708;0,10549;No;43349,87;0,091985051;195;9999;6;No
4378;No;Corporate;Jarmo Kokkonen;Helsinki;Uusimaa;Dustin Finland;13,4;19685,94;1;No;3010,64;0,389412218;299;9999;1;No
