OrganisationNo;LineDiscount;CustomerUnit;AccountManager;Municipality;County;Country;NoOfEmployees;Potential;AccessoryRatio;TargetAccessory;NSB;CPLow;Days;TargetDays;NrOfOrder;Software
16415;No;SMB Small;Not Defined;Utsjoki;Lappi;Dustin Finland;1,8;1026,36;1;No;474,16;0,149886114;190;9999;1;No
16416;No;SMB Small;Unassigned_SE;Danderyd;Stockholm;Dustin Sweden;1,8;0;0,59738;No;9237;0,164943163;636;9999;1;No
16417;No;SMB Small;Unassigned_SE;Uppsala;Uppsala;Dustin Sweden;1,8;0;0;No;3243;0,073342584;610;9999;1;No
16418;No;SMB Small;Unassigned_DK;Brøndby;Hovedstaden;Dustin Denmark;-1;0;0,322381;No;2772,06;0,108994755;383;9999;3;No
16419;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,3;0;0;No;7999;0,056192024;644;9999;3;No
16420;No;SMB Small;Unassigned_SE;Norrköping;Östergötland;Dustin Sweden;1,8;0;0,345341;No;2887;0,104056114;455;460;3;Yes
16421;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,3;28678;1;No;495;0,648969697;365;9999;1;No
16422;No;SMB Small;Unassigned_DK;Kolding;Syddanmark;Dustin Denmark;1,3;0;0,659915;No;15910,09;0,149650316;469;9999;7;No
16423;No;SMB Small;Unassigned_DK;Viborg;Midtjylland;Dustin Denmark;1,8;24372;0,610087;No;7913,44;0,147159769;239;9999;3;No
16424;No;SMB Mid;Mid - Segmentet;Göteborg;Västra Götaland;Dustin Sweden;30;266100;0,18259;No;1595076,55;0,118248438;4;79;236;Yes
16425;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;30;0;0,161339;No;68111,2;0,115082395;463;9999;8;No
16426;No;SMB Small;Unassigned_SE;Mariestad;Västra Götaland;Dustin Sweden;1,8;39708;0,378695;No;2638;0,143843821;53;9999;2;No
16427;No;SMB Small;Unassigned_NO;Bergen;Hordaland;Dustin Norway;1,8;40104;0,112614;No;12629,23;0,129296877;162;9999;1;No
16428;No;SMB Small;Unassigned_DK;Brønderslev-Dronning;Nordjylland;Dustin Denmark;6,5;0;0,130607;No;22554,11;0,117037205;505;9999;3;No
16429;No;SMB Small;Unassigned_SE;Solna;Stockholm;Dustin Sweden;6,5;26136,5;0,075455;No;8153,2;0,203453859;274;9999;2;No
16430;No;SMB Small;Unassigned_SE;Järfälla;Stockholm;Dustin Sweden;1,8;19602;0,188909;No;15404,2;0,080076213;194;9999;2;No
16431;No;SMB Small;Fredrik Frykberg (ext);Gävle;Gävleborg;Dustin Sweden;1,8;19602;0;No;4079;0,039688649;134;9999;1;No
16432;No;SMB Small;Unassigned_SE;Linköping;Östergötland;Dustin Sweden;-1;0;0,279248;No;13941,01;0,130289699;329;9999;3;No
16433;Yes;Corporate;Jan Tufvander;Solna;Stockholm;Dustin Sweden;304,8;2740152;1;No;125239,06;0,109279645;4;9999;92;No
16434;No;SMB Small;Unassigned_SE;Upplands-Bro;Stockholm;Dustin Sweden;1,8;0;0,592936;No;538;0,059962825;567;9999;2;No
16435;Yes;SMB Small;Unassigned_SE;Halmstad;Halland;Dustin Sweden;1,8;0;0,02407;No;10219,31;0,073474628;693;9999;2;No
16436;No;Public;Rasmus Winther;Høje-Taastrup;Hovedstaden;Dustin Denmark;38,3;1473336;0,246874;No;381083,34;0,122715205;18;9999;107;No
16437;No;SMB Small;Unassigned_SE;Nyköping;Södermanland;Dustin Sweden;1,3;14157;0,253791;No;249524,2;0,130880412;168;613;29;Yes
16438;No;SMB Small;Unassigned_SE;Kristianstad;Skåne;Dustin Sweden;1,3;0;0,408739;No;23000;0,105495217;609;9999;2;No
16439;No;SMB Small;Unassigned_SE;Täby;Stockholm;Dustin Sweden;1,8;0;0,455595;No;3029;0,25667547;644;9999;1;No
16440;No;SMB Small;Unassigned_NO;Oppegård;Akershus;Dustin Norway;1,8;0;0,780401;No;20197,93;0,201684034;624;9999;8;No
16441;No;SMB Small;Unassigned_DK;København;Hovedstaden;Dustin Denmark;30;759900;0,052652;No;9243,95;0,033931382;123;9999;4;No
16442;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;39708;0,218088;No;12339;0,095882973;330;9999;3;No
16443;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,3;0;0,888535;No;1570;0,216636943;650;9999;2;No
16444;No;SMB Small;Not Defined;Veteli;Keski-Pohjanmaa;Dustin Finland;1,8;2497,5;1;No;1017,29;0,243686658;272;9999;2;No
16445;No;SMB Mid;Unassigned_DK;Mariagerfjord;Nordjylland;Dustin Denmark;30;230400;1;No;478,87;0,62273686;82;9999;1;No
16446;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;0;0;No;17026;0,124114883;568;568;3;Yes
16447;No;SMB Small;Unassigned_SE;Öckerö;Västra Götaland;Dustin Sweden;1,8;19602;0,453846;No;2990;0,22967893;295;9999;3;No
16448;No;SMB Small;Unassigned_DK;Herning;Midtjylland;Dustin Denmark;13,4;339422;0,246604;No;35317,91;0,129249437;204;9999;8;No
16449;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;12024;0;No;4656,61;0,065624993;57;9999;1;No
16450;No;SMB Small;Unassigned_SE;Falkenberg;Halland;Dustin Sweden;137;1607010;0,516994;No;18096,91;0,08526428;74;9999;3;No
16451;No;SMB Small;Unassigned_NO;Asker;Akershus;Dustin Norway;1,3;15964;0,03282;No;30651,65;0,098716056;78;9999;12;No
16452;No;SMB Small;Unassigned_NO;Bergen;Hordaland;Dustin Norway;6,5;79820;0,176772;No;21995,18;0,16264427;196;9999;5;No
16453;Yes;SMB Mid;Mid - Segmentet;Malmö;Skåne;Dustin Sweden;30;0;0,06529;No;371208;0,079224909;202;9999;35;No
16454;No;SMB Small;Unassigned_SE;Gislaved;Jönköping;Dustin Sweden;1,3;11687;0;No;1352;0,184881657;349;9999;1;No
16455;No;SMB Small;Unassigned_NO;Karmøy;Rogaland;Dustin Norway;1,3;0;0,805463;No;1615,69;0,332891829;610;9999;1;No
16456;Yes;Corporate;Daniel Källberg;Kramfors;Västernorrland;Dustin Sweden;30;251700;0,466349;No;2526;0,189659541;567;9999;4;No
16457;No;SMB Small;Unassigned_SE;Falkenberg;Halland;Dustin Sweden;6,5;43420;0,127218;No;31780;0,103524229;353;9999;2;No
16458;No;SMB Mid;Unassigned_DK;Guldborgsund;Sjælland;Dustin Denmark;129,3;1239987;0,113599;No;285706,4;0,124304076;29;9999;39;No
16459;No;SMB Small;Unassigned_SE;Klippan;Skåne;Dustin Sweden;1,3;14157;1;No;6901;0,213063324;195;9999;5;No
16460;No;SMB Small;Unassigned_SE;Kungsbacka;Halland;Dustin Sweden;1,3;5227,3;0,018723;No;7958;0,021690123;315;9999;1;No
16461;Yes;Public;Andreas Braderup Klinge;Trondheim;Sør-Trøndelag;Dustin Norway;2501,3;22487081,33;0,757931;No;406537,67;0,829609295;5;9999;122;No
16462;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;6,5;0;0,106756;No;16364,29;0,273708789;32;9999;3;No
16463;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;1,3;0;0,16045;No;14291;0,086750402;728;9999;2;No
16464;No;SMB Small;Unassigned_NO;Oslo;Oslo;Dustin Norway;-1;15964;0;No;2962,14;0,135793717;245;9999;1;No
16465;No;SMB Small;Unassigned_DK;Tårnby;Hovedstaden;Dustin Denmark;13,4;159728;0;No;2934,74;0,172894362;301;9999;2;No
16466;No;Corporate;Daniel Källberg;Varberg;Halland;Dustin Sweden;13,4;112426;1;No;490;0,465918367;39;9999;1;No
16467;No;SMB Mid;Unassigned_NO;Sandefjord;Vestfold;Dustin Norway;137;0;0,689581;No;956,13;0,33023752;622;9999;2;No
16468;No;SMB Mid;Mid - Segmentet;Stockholm;Stockholm;Dustin Sweden;60;0;0,163106;No;226411;0,142076003;600;726;19;Yes
16469;No;SMB Mid;Mid - Segmentet;Säffle;Värmland;Dustin Sweden;36,5;805190;0,255313;No;873303,11;0,100718089;20;9999;67;No
16470;No;SMB Small;Unassigned_SE;Karlstad;Värmland;Dustin Sweden;13,4;112426;0;No;18338;0,111057367;300;9999;3;No
16471;No;SMB Small;Unassigned_SE;Not Defined;Not Defined;Dustin Sweden;1;0;0;No;3399;0,121056193;21;9999;1;No
16472;No;SMB Small;Unassigned_SE;Trosa;Södermanland;Dustin Sweden;13,4;0;1;No;345;0,435536232;456;9999;1;No
16473;No;SMB Small;Unassigned_SE;Huddinge;Stockholm;Dustin Sweden;6,5;54535;1;No;21352;0,243530348;105;9999;8;No
16474;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;0;0,011981;No;13771;0,057351681;553;9999;3;No
16475;No;SMB Small;Unassigned_SE;Lund;Skåne;Dustin Sweden;1,3;0;0;No;1999;0,051515758;726;726;1;Yes
16476;No;SMB Small;Erik Germerud;Karlstad;Värmland;Dustin Sweden;13,4;145926;0,244177;No;137096,88;0,13490183;29;9999;21;No
16477;No;SMB Small;Unassigned_SE;Sundsvall;Västernorrland;Dustin Sweden;1,3;15249;0,040042;No;3721;0,023939801;186;9999;1;No
16478;No;SMB Small;Unassigned_DK;København;Hovedstaden;Dustin Denmark;1,8;0;1;No;186,21;0,352505236;592;9999;1;No
16479;No;SMB Small;Unassigned_NO;Øyer;Oppland;Dustin Norway;13,4;0;1;No;911,09;0,354267965;435;9999;1;No
16480;No;SMB Small;Unassigned_SE;Nacka;Stockholm;Dustin Sweden;1,3;0;0,035738;No;8198,4;0,057205064;413;9999;1;No
16481;No;SMB Small;Unassigned_SE;Danderyd;Stockholm;Dustin Sweden;1,3;0;0;No;6744;0,066427936;560;9999;2;No
16482;No;SMB Small;Kåre Bakken;Vågan;Nordland;Dustin Norway;13,4;164552;0,396909;No;51933,62;0,170859455;173;9999;6;No
16483;No;SMB Small;Unassigned_NO;Fjell;Hordaland;Dustin Norway;13,4;0;0,465536;No;14902,07;0,199850759;432;9999;2;No
16484;Yes;SMB Mid;Mid - Segmentet;Lund;Skåne;Dustin Sweden;30;326700;0,161959;No;257758,95;0,141312882;22;784;53;Yes
16485;No;Public;Andreas Braderup Klinge;Samnanger;Hordaland;Dustin Norway;308,3;2772011,33;0,124521;No;413195,06;0,115681005;6;9999;55;No
16486;No;SMB Small;Unassigned_DK;Not Defined;Not Defined;Dustin Denmark;1;0;0;No;6580,02;0,061042368;32;9999;1;No
16487;Yes;Corporate;Daniel Källberg;Kumla;Örebro;Dustin Sweden;68;570520;0;No;5495;0,238050955;670;9999;1;No
16488;No;SMB Small;Unassigned_SE;Sollefteå;Västernorrland;Dustin Sweden;1,8;0;0;No;5495;0,273736124;624;9999;1;No
16489;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;30;247907;1;No;399;0,245488722;260;9999;1;No
16490;No;SMB Large;SMB SE Pool;Malmö;Skåne;Dustin Sweden;136;1595280;0,20142;No;379570,57;0,142496954;71;9999;44;No
16491;Yes;Corporate;Lars Erik Kristiansen;Oslo;Oslo;Dustin Norway;167;1240810;0,114134;No;247394,57;0,125211924;26;77;14;Yes
16492;No;SMB Small;Unassigned_DK;Århus;Midtjylland;Dustin Denmark;1,3;0;0;No;3739,56;0,024698093;721;9999;1;No
16493;No;SMB Small;Unassigned_SE;Luleå;Norrbotten;Dustin Sweden;1,8;39708;0,301512;No;28234,32;0,127966957;146;9999;8;No
16494;No;SMB Small;Unassigned_SE;Stenungsund;Västra Götaland;Dustin Sweden;1,8;18666;0,10778;No;107348;0,19036759;18;9999;10;No
16495;No;SMB Small;Unassigned_SE;Helsingborg;Skåne;Dustin Sweden;6,5;67405;1;No;549;0,367795993;246;9999;1;No
16496;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;1,3;0;0;No;1290;0,017077519;721;9999;1;No
16497;No;SMB Small;Unassigned_SE;Malmö;Skåne;Dustin Sweden;1,8;0;0,144141;No;37484;0,064323978;603;791;7;Yes
16498;No;SMB Small;Not Defined;Helsinki;Uusimaa;Dustin Finland;1,8;0;1;No;656,85;0,294816168;533;9999;1;No
16499;No;SMB Mid;Mid - Segmentet;Köping;Västmanland;Dustin Sweden;30;0;0,183694;No;4894;0,131783817;648;9999;1;No
16500;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;13,4;145926;0,639604;No;42889;0,284344704;1;9999;28;No
16501;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;13,4;0;0,119914;No;7497;0,099114312;621;9999;3;No
16502;No;SMB Small;Not Defined;Vihti;Uusimaa;Dustin Finland;1,8;0;0,227614;No;16541,94;0,105499113;410;9999;2;No
16503;No;SMB Small;Not Defined;Pirkkala;Pirkanmaa;Dustin Finland;1,8;4928,4;0,039292;No;21999,09;0,090269643;110;9999;2;No
16504;Yes;SMB Mid;Mid - Segmentet;Stenungsund;Västra Götaland;Dustin Sweden;33,6;265440;0,122288;No;125767,3;0,09933703;6;9999;19;No
16505;No;SMB Small;Unassigned_SE;Borlänge;Dalarna;Dustin Sweden;1,3;10907;0,327598;No;2732;0,126185944;356;9999;1;No
16506;No;SMB Small;Unassigned_SE;Värnamo;Jönköping;Dustin Sweden;13,4;0;0,044333;No;34827;0,101261091;634;705;3;Yes
16507;No;Corporate;Daniel Källberg;Lerum;Västra Götaland;Dustin Sweden;13,4;112426;0,140712;No;74606;0,255330134;20;32;2;No
16508;Yes;Public;Ketil Knutsen;Oslo;Oslo;Dustin Norway;88,7;496720;0,559491;No;1498529,73;0,192116015;46;9999;14;No
16509;No;SMB Small;Unassigned_SE;Halmstad;Halland;Dustin Sweden;1,3;5227,3;0,260079;No;12277;0,166469007;117;9999;1;No
16510;No;SMB Small;Unassigned_NO;Tønsberg;Vestfold;Dustin Norway;1,8;0;0,040745;No;7316,55;0,09389808;484;9999;2;No
16511;No;SMB Small;Unassigned_DK;Århus;Midtjylland;Dustin Denmark;1,3;0;0;No;1142,94;0,336736837;676;9999;1;No
16512;No;SMB Small;Unassigned_SE;Uppsala;Uppsala;Dustin Sweden;1,3;0;0,120445;No;988;0,0551417;376;9999;1;No
16513;No;SMB Small;Unassigned_SE;Norrtälje;Stockholm;Dustin Sweden;1,8;12024;0;No;12238,01;0,079924759;15;9999;1;No
16514;No;SMB Small;Unassigned_SE;Stenungsund;Västra Götaland;Dustin Sweden;1,8;19602;0;No;6353,92;0,057298487;354;9999;1;No
16515;No;SMB Small;Unassigned_SE;Solna;Stockholm;Dustin Sweden;1,8;15102;0;No;4118;0,049043225;357;357;2;Yes
16516;No;SMB Small;Unassigned_SE;Not Defined;Not Defined;Dustin Sweden;1;0;0;No;2270,8;0,081790558;20;9999;1;No
16517;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,3;0;0;No;7499;0,072635018;567;9999;1;No
16518;No;SMB Small;Unassigned_SE;Säter;Dalarna;Dustin Sweden;1,8;0;1;No;684;0,305380117;589;9999;1;No
16519;No;SMB Mid;Mid - Segmentet;Malmö;Skåne;Dustin Sweden;68;454240;0,409256;No;212180;0,175922047;27;9999;39;No
16520;No;SMB Small;Unassigned_SE;Lerum;Västra Götaland;Dustin Sweden;6,5;0;0,137682;No;6377;0,058828603;719;9999;1;No
16521;No;SMB Small;Unassigned_DK;Vejle;Syddanmark;Dustin Denmark;1,3;12467;0;No;4623,37;0,133164769;182;9999;3;No
16522;No;SMB Small;Unassigned_NO;Vestnes;Møre og Romsdal;Dustin Norway;1,3;0;0;No;8265,22;0,127969975;635;672;3;Yes
16523;Yes;Public;Kristian Denning Rasmussen;Aalborg;Nordjylland;Dustin Denmark;4241,2;46796568;0,41385;No;38676,61;0,102160453;551;9999;20;No
16524;No;SMB Small;Unassigned_DK;Høje-Taastrup;Hovedstaden;Dustin Denmark;1,8;0;0;No;1029,67;0,116532481;610;9999;1;No
16525;Yes;SMB Large;Andreas Møller Rasmussen;Brønderslev-Dronning;Nordjylland;Dustin Denmark;6,5;78910;0,062026;No;26049,39;0,0991862;364;9999;4;No
16526;Yes;SMB Large;Claus Hartmann;Hedensted;Midtjylland;Dustin Denmark;205,5;1983212;0,234205;No;721294,53;0,105898724;1;48;105;Yes
16527;No;SMB Small;Unassigned_SE;Lerum;Västra Götaland;Dustin Sweden;1,3;28678;0,110241;No;23285,32;0,061070666;57;9999;7;No
16528;No;SMB Small;Unassigned_DK;Fredericia;Syddanmark;Dustin Denmark;6,5;62335;0,323224;No;24491,49;0,140648854;181;9999;7;No
16529;Yes;SMB Large;Anders Due;Odense;Syddanmark;Dustin Denmark;68;1722440;0,240496;No;1032086,57;0,116025693;40;111;147;Yes
16530;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;19602;1;No;299;0,188762542;201;9999;1;No
16531;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;19602;0,068579;No;23316;0,115408732;47;9999;2;No
16532;No;SMB Small;Unassigned_SE;Tierp;Uppsala;Dustin Sweden;1,8;0;0,782755;No;2969;0,261721118;410;9999;2;No
16533;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;6,5;51350;0;No;919;0,254080522;174;9999;1;No
16534;No;SMB Small;Unassigned_NO;Asker;Akershus;Dustin Norway;1,3;13793;1;No;7611,06;0,124927408;340;9999;2;No
16535;No;SMB Small;Unassigned_DK;Faxe;Sjælland;Dustin Denmark;-1;32929;0;No;4363,99;0,202115495;34;9999;2;No
16536;No;SMB Small;Unassigned_NO;Ski;Akershus;Dustin Norway;30;168000;0,019178;No;109455,49;0,091107536;27;9999;7;No
16537;No;SMB Small;Unassigned_DK;Brønderslev-Dronning;Nordjylland;Dustin Denmark;1,8;45594;1;No;2860,51;0,171105852;145;9999;2;No
16538;No;SMB Mid;Mid - Segmentet;Södertälje;Stockholm;Dustin Sweden;68;611320;0,676677;No;105641,31;0,132979229;11;455;12;Yes
16539;No;SMB Small;Unassigned_SE;Flen;Södermanland;Dustin Sweden;1,3;7200,7;1;No;3095;0,315550889;70;9999;1;No
16540;No;SMB Mid;Mid LRHF;Malmö;Skåne;Dustin Sweden;30;251700;0,32254;No;49068,57;0,278027259;7;9999;13;No
16541;No;SMB Mid;Mid - Segmentet;Stockholm;Stockholm;Dustin Sweden;30;200400;0,174054;No;406305,43;0,099437559;70;9999;53;No
16542;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;13,4;0;1;No;7100;0,226242254;719;9999;1;No
16543;No;SMB Mid;Unassigned_NO;Spydeberg;Østfold;Dustin Norway;30;165600;0,272216;No;78320,69;0,171170734;22;9999;25;No
16544;No;SMB Small;Unassigned_DK;Aalborg;Nordjylland;Dustin Denmark;-1;12467;0,270272;No;1835,15;0,256709261;78;9999;1;No
16545;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;19602;0;No;11279,3;0,06806894;81;9999;2;No
16546;No;SMB Small;Not Defined;Pori;Satakunta;Dustin Finland;1,8;0;0;No;5068,56;0,219444971;526;9999;1;No
16547;Yes;SMB Large;Kim Johansson;Härjedalen;Jämtland;Dustin Sweden;71;782982;0,198494;No;1281332,82;0,113708271;1;971;197;Yes
16548;No;SMB Small;Unassigned_SE;Borgholm;Kalmar;Dustin Sweden;1,8;39708;0,024659;No;30373,18;0,101127376;53;9999;3;No
16549;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;15966;0;No;5459;0,089210478;237;9999;1;No
16550;Yes;SMB Large;Ole Petter Eriksen;Lillehammer;Oppland;Dustin Norway;1,3;3434,6;0;No;12145,98;0,108868943;293;9999;1;No
16551;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;6,5;0;0;No;6306;0,152559467;456;456;4;Yes
16552;No;Corporate;Corporate SE Online;Nora;Örebro;Dustin Sweden;30;313800;0,064266;No;54740,4;0,081473281;291;908;19;No
16553;No;SMB Small;Unassigned_SE;Norrtälje;Stockholm;Dustin Sweden;30;137040;0,822854;No;15288,24;0,417198448;13;9999;3;No
16554;No;SMB Large;SMB SE Pool;Sundbyberg;Stockholm;Dustin Sweden;86,8;823132;0,622327;No;80761,06;0,24414105;188;9999;46;No
16555;No;SMB Mid;Unassigned_NO;Rygge;Østfold;Dustin Norway;30;0;0,111268;No;77996,78;0,119699172;648;9999;9;No
16556;No;SMB Small;Unassigned_DK;Horsens;Midtjylland;Dustin Denmark;1,3;16653;0,260902;No;16127,58;0,110024567;259;694;3;Yes
16557;No;SMB Small;Unassigned_SE;Tyresö;Stockholm;Dustin Sweden;1,8;12024;0;No;3499;0,040823092;218;9999;1;No
16558;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;1,8;7237,8;0,168546;No;48022,44;0,138239956;25;1016;8;Yes
16559;No;SMB Small;Unassigned_SE;Piteå;Norrbotten;Dustin Sweden;1,8;0;0,102295;No;2004;0,229515968;529;9999;1;No
16560;Yes;Corporate;Lars Erik Kristiansen;Rygge;Østfold;Dustin Norway;33,9;232215;0,369948;No;63016,39;0,122123625;5;9999;9;No
16561;No;SMB Mid;Unassigned_NO;Oslo;Oslo;Dustin Norway;21,2;157516;0,074334;No;24924,95;0,161513263;20;9999;4;No
16562;No;SMB Small;Unassigned_SE;Malmö;Skåne;Dustin Sweden;13,4;138958;0,088964;No;29056,41;0,112585829;47;9999;2;No
16563;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;0;0,616864;No;3119;0,263065085;558;9999;2;No
16564;No;SMB Small;Unassigned_DK;Hvidovre;Hovedstaden;Dustin Denmark;1,8;0;0,305116;No;3562,7;0,243467033;523;9999;2;No
16565;No;SMB Small;Unassigned_SE;Umeå;Västerbotten;Dustin Sweden;1,8;19602;0;No;10849;0,057254125;181;9999;1;No
16566;No;SMB Small;Unassigned_SE;Tanum;Västra Götaland;Dustin Sweden;1,8;39708;0,22656;No;27321,58;0,100235052;71;9999;6;No
16567;No;SMB Small;Unassigned_SE;Härjedalen;Jämtland;Dustin Sweden;1,3;10907;0,784494;No;3689;0,294789916;67;9999;2;No
16568;No;SMB Small;Unassigned_NO;Grimstad;Aust-Agder;Dustin Norway;30;222900;0,258925;No;3307,09;0,192592279;260;9999;3;No
16569;No;SMB Small;Unassigned_DK;Tårnby;Hovedstaden;Dustin Denmark;1,8;9486;0,164908;No;24234,66;0,164743801;105;9999;7;No
16570;No;Corporate;Daniel Källberg;Stockholm;Stockholm;Dustin Sweden;30;251700;0,023164;No;74469;0,299154816;63;9999;1;No
16571;No;SMB Small;Unassigned_NO;Fredrikstad;Østfold;Dustin Norway;68;375360;1;No;909,83;0,245650286;349;9999;1;No
16572;Yes;Public;Public SE Online;Kristianstad;Skåne;Dustin Sweden;9077;81180158,5;0,079297;No;44978630,39;0,068025414;63;384;1415;Yes
16573;Yes;Corporate;Roar Meland;Oslo;Oslo;Dustin Norway;33,9;755292;0,098195;No;575130,18;0,083301262;4;9999;62;No
16574;No;SMB Small;Unassigned_DK;København;Hovedstaden;Dustin Denmark;13,4;171654;0;No;29492,16;0,083155998;28;9999;2;No
16575;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;19602;0,030388;No;35309;0,089639469;8;9999;5;No
16576;Yes;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;30;0;0,15306;No;90758,02;0,109778177;502;9999;10;No
16577;No;SMB Small;Unassigned_SE;Södertälje;Stockholm;Dustin Sweden;6,5;54535;0,196023;No;67280,94;0,149957477;4;9999;18;No
16578;No;SMB Small;Ella Stensland;Nyköping;Södermanland;Dustin Sweden;1,3;13598;0,881461;No;10476,92;0,340331891;197;9999;1;No
16579;No;SMB Small;Unassigned_SE;Örnsköldsvik;Västernorrland;Dustin Sweden;1,3;0;1;No;2683;0,105587029;403;9999;1;No
16580;Yes;SMB Large;Fredrik Dahlberg;Stockholm;Stockholm;Dustin Sweden;13,4;145926;0,124714;No;298991,72;0,095568633;7;946;46;Yes
16581;No;Corporate;Pasi Pelkonen;Jyväskylä;Keski-Suomi;Dustin Finland;30;44073;0,212119;No;148872,56;0,120656621;7;9999;14;No
16582;No;SMB Mid;Unassigned_DK;Middelfart;Syddanmark;Dustin Denmark;30;0;0,035264;No;3546,65;0,128456431;714;9999;1;No
16583;No;SMB Small;Unassigned_SE;Ljungby;Kronoberg;Dustin Sweden;1,8;0;0,232214;No;1757;0,142953899;651;9999;2;No
16584;No;SMB Small;Unassigned_DK;Not Defined;Not Defined;Dustin Denmark;1;0;0;No;11128,39;0,151408245;22;9999;1;No
16585;No;Corporate;Daniel Källberg;Karlskrona;Blekinge;Dustin Sweden;30;251700;1;No;945;0,109132275;49;9999;1;No
16586;No;SMB Small;Unassigned_SE;Hallstahammar;Västmanland;Dustin Sweden;1,3;0;0;No;7046,72;0,084189524;431;9999;1;No
16587;No;SMB Small;Unassigned_SE;Uppsala;Uppsala;Dustin Sweden;1,8;0;0;No;1679;0,065866587;531;9999;1;No
16588;No;SMB Small;Unassigned_SE;Motala;Östergötland;Dustin Sweden;1,8;18828;0,341802;No;41603;0,129416629;137;338;14;Yes
16589;No;SMB Small;Unassigned_DK;Odense;Syddanmark;Dustin Denmark;1,3;16653;1;No;2089,55;0,176985475;292;9999;1;No
16590;No;SMB Small;Unassigned_SE;Nynäshamn;Stockholm;Dustin Sweden;1,8;0;1;No;2198;0,038216561;707;9999;1;No
16591;No;SMB Small;Unassigned_SE;Borås;Västra Götaland;Dustin Sweden;13,4;112426;0,358813;No;17962;0,200822848;335;9999;8;No
16592;No;SMB Small;Unassigned_DK;Rudersdal;Hovedstaden;Dustin Denmark;6,5;83265;0,043291;No;67422,89;0,122627345;11;9999;4;No
16593;No;SMB Small;Unassigned_SE;Ulricehamn;Västra Götaland;Dustin Sweden;1,8;0;0,033603;No;8898;0,023413127;613;9999;1;No
16594;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;1,3;28678;0,350313;No;85806;0,099251101;218;9999;6;No
16595;No;SMB Small;Unassigned_SE;Lycksele;Västerbotten;Dustin Sweden;1,8;19602;0,541569;No;140085,4;0,189023481;26;9999;34;No
16596;No;SMB Small;Unassigned_NO;Oslo;Oslo;Dustin Norway;-1;0;0,022753;No;19537,93;0,056053021;554;9999;3;No
16597;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;0;0,190596;No;18673;0,055827666;683;9999;5;No
16598;No;SMB Small;Unassigned_NO;Klepp;Rogaland;Dustin Norway;6,5;48295;0,068094;No;17194,21;0,202242499;68;9999;1;No
16599;No;SMB Small;Unassigned_SE;Östhammar;Uppsala;Dustin Sweden;1,3;13481;0;No;6685;0,114560957;313;901;2;Yes
16600;No;SMB Mid;Mid LRLF;Vellinge;Skåne;Dustin Sweden;137;0;0,282652;No;6393;0,217805412;657;979;3;Yes
16601;No;SMB Small;Unassigned_SE;Hudiksvall;Gävleborg;Dustin Sweden;1,8;19602;0,027845;No;10738;0,096839262;71;9999;1;No
16602;No;SMB Small;Unassigned_SE;Knivsta;Uppsala;Dustin Sweden;6,5;43420;1;No;2968;0,278386119;263;9999;3;No
16603;No;SMB Small;Unassigned_NO;Trondheim;Sør-Trøndelag;Dustin Norway;1,8;0;0;No;4264,11;0,113475028;651;9999;2;No
16604;No;SMB Small;Unassigned_SE;Nacka;Stockholm;Dustin Sweden;1,8;39708;0,12217;No;27339,01;0,131585965;238;9999;4;No
